epoch,loss,lr,mrcnn_bbox_loss,mrcnn_class_loss,mrcnn_mask_loss,rpn_bbox_loss,rpn_class_loss,val_loss,val_mrcnn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_mask_loss,val_rpn_bbox_loss,val_rpn_class_loss
0,0.7433984398841857,0.001,0.21910094,0.18774651,0.3083269,0.024208097,0.004016069,0.25196306109428407,0.04164865,0.017904215,0.18206592,0.009849076,0.0004951879
1,0.24770582258701324,0.001,0.05569279,0.01798466,0.16083921,0.012651167,0.0005379827,0.1893087935447693,0.037560765,0.0075789886,0.13545652,0.008160815,0.00055171247
2,0.18688559144735337,0.001,0.03912437,0.007666094,0.12801175,0.011599149,0.00048424918,0.1446842834353447,0.02034636,0.0039332407,0.112135984,0.008015382,0.00025332815
3,0.16005503743886948,0.001,0.033364512,0.0059657786,0.10956953,0.010886992,0.00026817722,0.15152847707271577,0.021956986,0.005532618,0.10260477,0.013899755,0.007534363
4,0.14190462954342364,0.001,0.027033867,0.00583062,0.098875634,0.009765651,0.0003988736,0.1743706224858761,0.027021654,0.0047182264,0.10028111,0.026228486,0.016121125
5,0.17946720317006112,0.001,0.03018789,0.012348832,0.112015285,0.01876393,0.006151278,0.11097239091992378,0.015290753,0.007939448,0.08066558,0.006676471,0.0004001441
6,0.15497598566114903,0.001,0.026441472,0.014047235,0.09993168,0.011496701,0.003058903,0.1059966216981411,0.014069004,0.0050489563,0.079198964,0.007438957,0.00024074421
7,0.14846799299120902,0.001,0.022645295,0.014639999,0.09795363,0.010672279,0.0025567932,0.22049103945493698,0.030099517,0.040138196,0.12665421,0.012573724,0.011025399
8,0.11295014679431915,0.001,0.017686663,0.0068546725,0.08080496,0.0073543745,0.00024946974,0.10067454606294632,0.013780323,0.004527535,0.07518334,0.006959702,0.000223637
9,0.11255216933786868,0.001,0.017582232,0.006415641,0.0806906,0.0076110405,0.00025267038,0.24111842676997186,0.0379201,0.046907905,0.13268395,0.012472792,0.011133682
10,0.1578716716915369,0.001,0.022014782,0.021336343,0.09726333,0.012614084,0.004643102,0.10838920205831527,0.021470234,0.0070072627,0.07153162,0.008093107,0.00028698228
11,0.13367966935038567,0.001,0.019609477,0.015866024,0.08733353,0.008826647,0.0020439946,0.21809904813766479,0.031235425,0.056145474,0.11105239,0.010965509,0.00870023
12,0.0968916117399931,1e-04,0.00996347,0.007968176,0.07262887,0.0059875418,0.00034355395,0.08923188731074333,0.008509102,0.006249153,0.06782621,0.0062694196,0.00037800084
13,0.09746736034750939,1e-04,0.009685368,0.008346502,0.07299242,0.006110226,0.0003328421,0.21408547341823578,0.028942537,0.058201298,0.10878411,0.009600515,0.00855704
14,0.09661386281251907,1e-04,0.009578593,0.0075847446,0.07301433,0.0060824365,0.00035376262,0.08768479228019714,0.007963013,0.005859704,0.0674469,0.0060232724,0.00039190866
15,0.09468370921909809,1e-04,0.009311407,0.008052951,0.0708603,0.0061748624,0.00028419204,0.08744895815849305,0.0078230975,0.0061437543,0.06735008,0.0058412645,0.00029076322
16,0.12372547000646592,1e-04,0.012836018,0.014414365,0.086226664,0.008237989,0.0020104393,0.08695310667157173,0.008303426,0.0063231927,0.06652071,0.005397374,0.00040840427
17,0.1636016161739826,1e-04,0.018838394,0.024195373,0.104296096,0.011287639,0.004984095,0.14764736354351043,0.018587055,0.030916382,0.08647795,0.007415778,0.004250185
18,0.0939372618496418,1e-04,0.009058996,0.0077441414,0.07117381,0.0056142635,0.00034605435,0.21476380437612533,0.030060302,0.057352085,0.10837573,0.010698032,0.008277676
19,0.09684152685105801,1e-04,0.009765285,0.007646686,0.07269118,0.006447168,0.00029121284,0.08883911743760109,0.009022248,0.0055787945,0.06837743,0.0055317306,0.00032891438
